sha256,filesize,File Type,File Class,datetime,alienvault_adversary,Campaign_Tag,tags,Comment,Report link,Normalized_Tag,Alias
018eb62e174efdcdb3af011d34b0bf2284ed1a803718fba6edffe5bc0b446b81,75776,"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",PEXE,11/9/17 21:08,"['BlackEnergy, CRASHOVERRIDE, INDUSTROYER', 'Electrum', 'Havex']",C0025,"['BlackEnergy', 'BlackEnergy, CRASHOVERRIDE, INDUSTROYER', 'CrashOverride', 'Endowerpo', 'Endowerpo.A', 'ICS', 'Industrial Control Systems', 'Industroyer', 'Russia', 'Ukraine', 'VertekMTI', 'code issues', 'github', 'history files', 'industroyer', 'latest commit', 'pull', 'search sign', 'sign', 'skip', 'type name', 'vsoc']",Destructive Module,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,Sandworm,"Quedagh, VOODOO BEAR, TEMP.Noble, IRON VIKING, G0034, ELECTRUM, TeleBots, IRIDIUM, Blue Echidna, FROZENBARENTS"
0250b273344317c9a1e5a49fb7e0d2d8d2e3e3a6c6fccf1039d52122df9747ba,208375,"PDF document, version 1.5",PDF,8/13/20 23:29,"['Lazarus', 'Lazarus Group']",C0022,"['DBLL Dropper', 'DRATzarus', 'Lazarus Group', 'Operation Dream Job', 'OperationDreamJob', 'apts', 'cobalt strike', 'dotm', 'filehashsha256', 'gamaredon', 'graphsteel', 'grimplant', 'iconcache.db', 'information', 'initial', 'invisimole', 'mailbox', 'microbackdoor', 'pcaudit.sys', 'stage rat c2', 'uac0010', 'uac0020 group', 'uac0035', 'uac0051', 'uac0056 group', 'ukraine', 'unc1151', 'vector', 'virus total', 'white', '© all']","First infection vector, Operation Dream Job",https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Lazarus,
02a28bc6829edef5e8a8f0cc5140056d2842588daea61247a31f9cca69061bbf,1667072,"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",PEXE,4/12/23 14:31,"['Hidden Cobra', 'Lazarus']",C0022,"['DeathNote', 'Lazarus', 'Lazarus Group', 'Macros', 'Manuscrypt', 'NukeSped', 'OSINT', 'T1059', 'T1071', 'T1082', 'T1129', 'T1566', 'T1574.002', 'adversary', 'appdata', 'april', 'apt', 'attack', 'back', 'backdoor', 'blindingcan', 'clicker', 'code', 'concept', 'contact', 'copperhedge', 'cve-2017-0199', 'date', 'deathnote', 'defense', 'dll implant', 'dlls', 'dotm', 'evilclippy', 'gamaredon', 'gopuram', 'guid', 'hidden cobra', 'implant', 'installer', 'june', 'kimsuky', 'konni', 'korean', 'lazarus', 'lazarus group', 'life', 'loader', 'macros', 'malicious', 'malware descriptions', 'malware technologies', 'manuscrypt', 'mcafee', 'mcafee atr', 'microsoft word', 'mimikatz', 'min read', 'mozilla', 'nukesped', 'office', 'pdf file', 'phase', 'podcast', 'programdata', 'roaming mantis', 'service', 'south korea', 'sqlite', 'stealer', 'strong', 'target', 'targeted attacks', 'team', 'tips', 'trojan', 'trojanized pdf', 'ttps', 'ultimate', 'ultravnc viewer', 'unknown', 'virustotal', 'windows', 'winrar']",Operation Death Note,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,Lazarus,
0aaf6668fdb194d74c3c83bc6bd098588f1d3884b7f05429a8e3bdb0a3d48f40,44032,"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",PEXE,1/17/18 6:45,['Konni'],C0006,"['konni', 'north korea', 'syscon']",North Korean Threat Actors,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,Korean Speaking Actor,
0be57d1244fefc679feb7aa9996e539481be7b8f4c9246817f81caa8c2f61a57,3130368,"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",PEXE,1/13/21 4:24,['Dukes'],C0023,"['2016 Russian Interference', '2020 US Elections Hack', 'Dukes', 'Ransomware', 'added iocs', 'code issues', 'dukes', 'fatduke', 'ghost', 'github', 'latest commit', 'less', 'liteduke', 'md5 hash', 'mfaou', 'miniduke', 'operation ghost', 'polyglotduke', 'pull', 'regduke loader', 'search sign', 'sha1 hash', 'sha256 hash', 'sign', 'skip', 'welivesecurity']",FatDuke,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,APT29,
0d4352322160339f87be70c2f3fe096500cfcdc95a8dea975fdfc457bd347c44,134610,"Composite Document File V2 Document, Little Endian, Os: Windows, Version 6.1, Code page: 1252, Author: HoneyBee, Template: Normal.dotm, Last Saved By: HoneyBee, Revision Number: 8, Name of Creating Application: Microsoft Office Word, Total Editing Time: 02:00, Create Time/Date: Fri Feb  2 20:31:00 2018, Last Saved Time/Date: Fri Feb  2 20:40:00 2018, Number of Pages: 1, Number of Words: 0, Number of Characters: 1, Security: 0",CDF,2/4/18 7:51,['Konni'],C0006,"['konni', 'north korea', 'syscon']",North Korean Threat Actors,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,Korean Speaking Actor,
0dc8ba26be5b006127a5971c4f3a5a087d701630c04b57ab28991f432fd54ef5,455168,"PE32 executable (DLL) (console) Intel 80386, for MS Windows",PEXE,10/19/19 9:51,[],C0022,"['APT', 'Aerospace', 'BEC attack', 'Europe', 'Lazarus group', 'Military', 'Operation In(ter)ception', 'Operation Interception']",Operation Interception,https://www.welivesecurity.com/wp-content/uploads/2020/06/ESET_Operation_Interception.pdf,Lazarus,
11dbbad391345d5817cad17a5c7e4db5b75f005a04500677cc6761408d43b7b7,226846,"PDF document, version 1.7",PDF,8/13/20 23:29,"['Lazarus', 'Lazarus Group']",C0022,"['DBLL Dropper', 'DRATzarus', 'Lazarus Group', 'Operation Dream Job', 'OperationDreamJob', 'apts', 'cobalt strike', 'dotm', 'filehashsha256', 'gamaredon', 'graphsteel', 'grimplant', 'iconcache.db', 'information', 'initial', 'invisimole', 'mailbox', 'microbackdoor', 'pcaudit.sys', 'stage rat c2', 'uac0010', 'uac0020 group', 'uac0035', 'uac0051', 'uac0056 group', 'ukraine', 'unc1151', 'vector', 'virus total', 'white', '© all']","First Infection Vector, Operation Dream Job",https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Lazarus,
130daacff74d57bb2319fc5cf815e783c6505883f69e4adcd4c2b1cac3e598ce,710442,"Rich Text Format data, version 1, ANSI",RTF,2/7/19 17:50,"['Conimes', 'Conimes     KeyBoy     Emissary Panda     Rancor     Temp.Trident', 'Insikt', 'TAG-16', 'Tag-16 Chinese Nation state']",Historical Goblin Panda,"['APT40', 'CobaltStrike', 'Conimes', 'FunnyDream', 'Goblin Panda', 'NOQCrat', 'PCShare', 'Periscope', 'RedFoxtrot', 'Royal Road', 'ShadowPad', 'Sidewinder APT', 'TAG-16', 'TAG-33', 'Temp.Trident', 'Tick', 'Trochilus', 'analysis', 'april', 'apt40', 'china', 'chinoxy', 'cobalt strike', 'cyber threat', 'funnydream', 'future', 'http', 'indonesia', 'insikt', 'insikt group', 'june', 'laos', 'naikon', 'newcore', 'newcore rat', 'recorded future', 'redalpha', 'reddelta', 'redfoxtrot', 'royal road', 'royalroad', 'rtf sample', 'shadowpad', 'smanager', 'south china', 'southeast asia', 'tag16', 'threat activity', 'twitter']",https://github.com/Insikt-Group/Research/blob/master/Chinese%20State-Sponsored%20Cyber%20Espionage%20Activity%20Supports%20Expansion%20of%20Regional%20Power%20and%20Influence%20in%20Southeast%20Asia,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,Goblin Panda,
179d18ad80b718d861ea0b4b06ad885e0a7760051497db6eb87315f92dd24b53,1740800,"PE32 executable (GUI) Intel 80386, for MS Windows",PEXE,8/24/21 12:46,"['Insikt', 'TAG-16', 'Tag-16 Chinese Nation state']",C0007,"['APT40', 'CobaltStrike', 'FunnyDream', 'PCShare', 'RedFoxtrot', 'ShadowPad', 'TAG-16', 'TAG-33', 'Trochilus', 'analysis', 'april', 'apt40', 'china', 'chinoxy', 'cobalt strike', 'cyber threat', 'funnydream', 'future', 'indonesia', 'insikt', 'insikt group', 'june', 'laos', 'naikon', 'newcore', 'newcore rat', 'recorded future', 'redalpha', 'reddelta', 'redfoxtrot', 'royal road', 'royalroad', 'rtf sample', 'shadowpad', 'smanager', 'south china', 'southeast asia', 'tag16', 'threat activity', 'twitter']",https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,TAG-16,"Chinese-State sponsored, Overlap with TAG-16"
